"","Partial Email","PNL May Corn","PNL Dec Corn","PNL May Soybean","PNL November Soybean","PNL May Wheat","PNL December Wheat","Total PNL"
"1","asto",8.75,-2961.47,26.25,0,-94.38,0,-3020.85
"2","berg",0,0,0,0,0,0,0
"3","clar",0,0,0,0,0,0,0
"4","clde",-172.5,0,0,45204.45,0,0,45031.95
"5","cmeh",0,0,0,0,0,0,0
"6","cree",75,0,0,0,0,0,75
"7","csal",0,0,0,0,0,-5690.52,-5690.52
"8","culp",11.5,-466.5,-29.75,1160.61,-20.5,1106.1,1761.46
"9","dahi",-52.5,2324.98,0,-5860.56,0,0,-3588.08
"10","dnov",0,0,0,0,0,0,0
"11","ebar",0,0,-1812.5,0,0,0,-1812.5
"12","elki",-1162.5,0,-818.75,0,0,0,-1981.25
"13","ewer",245,0,-1280,0,0,0,-1035
"14","funk",-22.5,0,97.5,0,0,0,75
"15","gmbe",0,0,0,0,0,0,0
"16","hart",0,0,0,0,0,0,0
"17","havr",0,0,0,0,0,0,0
"18","lble",-837.5,12687.38,0,0,0,0,11849.88
"19","ljly",-282.5,0,0,0,0,0,-282.5
"20","madi",525,-23524.79,625,-11921.11,-4.88,277.03,-34023.75
"21","mbag",-20,0,-76,0,0,0,-96
"22","meye",-147.5,0,-2325,0,0,0,-2472.5
"23","ocon",87.5,0,0,0,0,0,87.5
"24","pisr",0,0,0,0,0,0,0
"25","rusc",0,0,0,0,0,0,0
"26","shum",-565,-9474.92,-832.5,5938.06,0,0,-4934.36
"27","tgba",0,-4664.96,0,-11606.11,0,0,-16271.07
"28","west",0,0,0,0,0,0,0
"29","wlas",0,0,148.75,0,0,0,148.75
